Restaurants,Price_per_restaurant_MXN,Creator_cost_per_restaurant_MXN,Marketing_budget_MXN,Marketing_per_restaurant_MXN,Contribution_per_restaurant_MXN,Total_revenue_MXN,Total_creator_costs_MXN,Total_profit_MXN
5,3600,2000,5000,1000,600,18000,10000,3000
10,3600,2000,5000,500,1100,36000,20000,11000
15,3600,2000,5000,333.33,1266.67,54000,30000,19000
20,3600,2000,5000,250,1350,72000,40000,27000
25,3600,2000,5000,200,1400,90000,50000,35000
30,3600,2000,5000,166.67,1433.33,108000,60000,43000
40,3600,2000,5000,125,1475,144000,80000,59000
50,3600,2000,5000,100,1500,180000,100000,75000
60,3600,2000,5000,83.33,1516.67,216000,120000,91000
80,3600,2000,5000,62.5,1537.5,288000,160000,123000
